,name,date,marketcap,volume,average price
0,cryptopunks,"Mar 08, 2022(UTC)","$1,646,457,103.22","$946,701.31",53.04857143 ETH
1,cryptopunks,"Mar 09, 2022(UTC)","$1,647,289,920.29","$3,467,012.05",71.71611111 ETH
2,cryptopunks,"Mar 10, 2022(UTC)","$1,647,442,612.40","$919,210.96",69.8719988 ETH
3,cryptopunks,"Mar 11, 2022(UTC)","$1,650,984,181.03","$10,913,162.73",77.06963636 ETH
4,cryptopunks,"Mar 12, 2022(UTC)","$1,652,300,388.08","$10,466,732.33",86.56382979 ETH
5,cryptopunks,"Mar 13, 2022(UTC)","$1,652,406,459.59","$1,945,341.31",75.42 ETH
6,cryptopunks,"Mar 14, 2022(UTC)","$1,652,695,851.24","$1,435,420.55",80.17 ETH
7,cryptopunks,"Mar 15, 2022(UTC)","$1,652,639,929.77","$821,866.09",63.5 ETH
8,cryptopunks,"Mar 16, 2022(UTC)","$1,652,410,955.89","$1,946,392.59",66.35818182 ETH
9,cryptopunks,"Mar 17, 2022(UTC)","$1,653,123,032.71","$3,620,292.51",71.89166667 ETH
10,cryptopunks,"Mar 18, 2022(UTC)","$1,655,169,438.21","$6,493,410.87",74.648 ETH
11,cryptopunks,"Mar 19, 2022(UTC)","$1,658,056,024.11","$6,524,084.23",76.08862069 ETH
12,cryptopunks,"Mar 20, 2022(UTC)","$1,658,833,907.75","$3,031,143.30",69.562 ETH
13,cryptopunks,"Mar 21, 2022(UTC)","$1,659,016,999.72","$2,711,998.01",72.38 ETH
14,cryptopunks,"Mar 22, 2022(UTC)","$1,659,259,669.46","$1,918,140.63",80.20125 ETH
15,cryptopunks,"Mar 23, 2022(UTC)","$1,659,815,437.98","$1,677,496.89",70.6875 ETH
16,cryptopunks,"Mar 24, 2022(UTC)","$1,659,916,648.99","$2,515,335.82",63.43692308 ETH
17,cryptopunks,"Mar 25, 2022(UTC)","$1,659,185,185.54","$1,215,148.34",78.04 ETH
18,cryptopunks,"Mar 26, 2022(UTC)","$1,659,305,374.63","$1,176,516.57",62.83166667 ETH
19,cryptopunks,"Mar 27, 2022(UTC)","$1,659,598,773.75","$1,269,132.15",66.57166667 ETH
20,cryptopunks,"Mar 28, 2022(UTC)","$1,661,025,382.81","$3,291,144.32",81.99083333 ETH
21,cryptopunks,"Mar 29, 2022(UTC)","$1,661,758,493.37","$733,646.92",217 ETH
22,cryptopunks,"Mar 30, 2022(UTC)","$1,662,334,134.31","$2,274,726.39",74.56444444 ETH
23,cryptopunks,"Mar 31, 2022(UTC)","$1,662,685,707.81","$938,113.60",70.375 ETH
24,cryptopunks,"Apr 01, 2022(UTC)","$1,663,007,072.11","$982,095.47",72.1125 ETH
25,cryptopunks,"Apr 02, 2022(UTC)","$1,660,489,889.25","$4,117,137.19",45.52961538 ETH
26,cryptopunks,"Apr 03, 2022(UTC)","$1,662,044,518.23","$3,079,766.21",125.87571429 ETH
27,cryptopunks,"Apr 04, 2022(UTC)","$1,662,946,028.16","$2,343,732.15",61.09090909 ETH
28,cryptopunks,"Apr 05, 2022(UTC)","$1,663,728,476.69","$2,025,917.53",72.9375 ETH
29,cryptopunks,"Apr 06, 2022(UTC)","$1,663,109,477.45","$215,606.00",21.33333333 ETH
30,bored-ape-yacht-club,"Mar 08, 2022(UTC)","$870,632,706.40","$5,657,211.91",85.5053839 ETH
